Protein Name,UniProt Accession,Accession (without isoform number),Gene Name,BPA ,P value,E2,P value,PCB,P value,Pht,P value,EntrezGene
Replication factor C subunit 2  ,sp|Q9WUK4|RFC2_MOUSE,Q9WUK4,Rfc2,-0.26,0.306,0.36,0.057,0.12,0.961,0.05,0.149,19718
Replication factor C subunit 3  ,sp|Q8R323|RFC3_MOUSE,Q8R323,Rfc3,0.09,0.818,0.45,0.049,-0.18,0.536,-0.29,0.597,69263
Replication factor C subunit 4  ,sp|Q99J62|RFC4_MOUSE,Q99J62,Rfc4,0.26,0.128,0.2,0.566,0.05,0.564,-0.18,0.284,106344
Replication factor C subunit 5  ,sp|Q9D0F6|RFC5_MOUSE,Q9D0F6,Rfc5,-0.46,0.132,0.06,0.682,-0.39,0.155,-0.43,0.248,72151
Replication protein A 14 kDa subunit  ,sp|Q9CQ71|RFA3_MOUSE,Q9CQ71,Rpa3,0.1,0.629,0.2,0.175,-0.43,0.865,-0.85,0.569,68240
Replication protein A 70 kDa DNA-binding subunit  ,sp|Q8VEE4|RFA1_MOUSE,Q8VEE4,Rpa1,-0.14,0.539,0.11,0.487,0.12,0.944,0.13,0.696,68275
REST corepressor 1  ,sp|Q8CFE3|RCOR1_MOUSE,Q8CFE3,Rcor1,-0.1,0.716,0.3,0.111,-0.28,0.753,-0.48,0.422,217864
Reticulocalbin-1  ,sp|Q05186|RCN1_MOUSE,Q05186,Rcn1,0,0.996,-0.17,0.757,0.24,0.312,-0.41,0.413,19672
Reticulocalbin-2  ,sp|Q8BP92|RCN2_MOUSE,Q8BP92,Rcn2,-0.23,0.249,0.24,0.562,-0.03,0.752,-0.19,0.434,26611
Reticulocalbin-3  ,sp|Q8BH97|RCN3_MOUSE,Q8BH97,Rcn3,0.07,0.694,-0.45,0.34,0.18,0.85,0.63,0.848,52377
Reticulon-4  ,sp|Q99P72|RTN4_MOUSE,Q99P72,Rtn4,-0.06,0.741,-0.04,0.912,0.18,0.908,0.28,0.747,68585
Retinal dehydrogenase 1  ,sp|P24549|AL1A1_MOUSE,P24549,Aldh1a1,0.11,0.65,-0.54,0.102,-0.12,0.902,-0.42,0.744,11668
"Retinal rod rhodopsin-sensitive cGMP 3',5'-cyclic phosphodiesterase subunit delta  ",sp|O55057|PDE6D_MOUSE,O55057,Pde6d,0.03,0.843,-0.01,0.855,0.05,0.963,0.13,0.554,18582
Retinoblastoma-associated protein  ,sp|P13405|RB_MOUSE,P13405,Rb1,0.79,0.027,0.74,0.005,-0.18,0.315,-0.56,0.547,19645
Retinoic acid receptor RXR-alpha  ,sp|P28700|RXRA_MOUSE,P28700,Rxra,0.21,0.231,0.17,0.44,0.11,0.988,0.1,0.885,20181
Retinoid-binding protein 7  ,sp|Q9EPC5|RET7_MOUSE,Q9EPC5,Rbp7,-0.3,0.077,-0.52,0.147,-0.09,0.166,0.4,0.228,63954
Retinoid-inducible serine carboxypeptidase  ,sp|Q920A5|RISC_MOUSE,Q920A5,Scpep1,-0.02,0.945,-0.16,0.597,0.33,0.484,0.21,0.935,74617
Retinol dehydrogenase 11  ,sp|Q9QYF1|RDH11_MOUSE,Q9QYF1,Rdh11,-0.08,0.667,0.12,0.465,0.15,0.808,0.41,0.904,17252
Retinol dehydrogenase 14  ,sp|Q9ERI6|RDH14_MOUSE,Q9ERI6,Rdh14,0.52,0.09,0.17,0.314,0.02,0.346,1.19,0.375,105014
Retinol-binding protein 1  ,sp|Q00915|RET1_MOUSE,Q00915,Rbp1,-0.23,0.352,-0.94,0.043,-0.58,0.252,-0.7,0.078,19659
Rho GDP-dissociation inhibitor 1  ,sp|Q99PT1|GDIR1_MOUSE,Q99PT1,Arhgdia,-0.51,0.042,-0.83,0.014,-0.11,0.193,0.38,0.63,192662
Rho GDP-dissociation inhibitor 2  ,sp|Q61599|GDIR2_MOUSE,Q61599,Arhgdib,-0.12,0.546,-0.38,0.187,0.29,0.961,0.41,0.929,11857
Rho GTPase-activating protein 1  ,sp|Q5FWK3|RHG01_MOUSE,Q5FWK3,Arhgap1,-0.02,0.934,0.09,0.974,-0.01,0.695,-0.23,0.643,228359
Rho GTPase-activating protein 18  ,sp|Q8K0Q5|RHG18_MOUSE,Q8K0Q5,Arhgap18,-0.38,0.294,0.21,0.268,0.03,0.731,-0.14,0.578,73910
Rho GTPase-activating protein 35  ,sp|Q91YM2|RHG35_MOUSE,Q91YM2,Arhgap35,0.58,0.074,0.11,0.447,0.19,0.725,0.47,0.676,232906
Rho guanine nucleotide exchange factor 12  ,sp|Q8R4H2|ARHGC_MOUSE,Q8R4H2,Arhgef12,-0.12,0.538,0.03,0.799,-0.25,0.661,-0.43,0.398,69632
Rho guanine nucleotide exchange factor 17  ,sp|Q80U35|ARHGH_MOUSE,Q80U35,Arhgef17,0.14,0.534,0.18,0.07,0.28,0.02,-0.06,0.108,207212
Rho guanine nucleotide exchange factor 6  ,sp|Q8K4I3|ARHG6_MOUSE,Q8K4I3,Arhgef6,0.06,0.714,0.05,0.948,-0.12,0.915,-0.4,0.856,73341
Rho-associated protein kinase 2  ,sp|P70336|ROCK2_MOUSE,P70336,Rock2,0.35,0.111,0.28,0.253,0.16,0.448,-0.11,0.348,19878
Rhophilin-2  ,sp|Q8BWR8|RHPN2_MOUSE,Q8BWR8,Rhpn2,-0.17,0.462,-0.34,0.123,-0.18,0.373,-0.07,0.865,52428
Rho-related GTP-binding protein RhoC  ,sp|Q62159|RHOC_MOUSE,Q62159,Rhoc,-0.12,0.431,-0.13,0.472,-0.03,0.372,-0.1,0.099,11853
Rho-related GTP-binding protein RhoG  ,sp|P84096|RHOG_MOUSE,P84096,Rhog,-0.03,0.887,-0.21,0.234,0.02,0.416,-0.11,0.635,56212
Rhotekin  ,sp|Q8C6B2|RTKN_MOUSE,Q8C6B2,Rtkn,-0.35,0.142,-0.43,0.463,0.21,0.491,0.22,0.536,20166
Riboflavin kinase  ,sp|Q8CFV9|RIFK_MOUSE,Q8CFV9,Rfk,-0.59,0.024,-0.65,0.072,-0.23,0.246,-0.02,0.739,54391
Ribonuclease H2 subunit A  ,sp|Q9CWY8|RNH2A_MOUSE,Q9CWY8,Rnaseh2a,0.23,0.259,0.18,0.475,0.23,0.299,0.21,0.426,69724
Ribonuclease H2 subunit C  ,sp|Q9CQ18|RNH2C_MOUSE,Q9CQ18,Rnaseh2c,0.46,0.106,0.11,0.409,0.06,0.776,0.15,0.366,68209
Ribonuclease inhibitor  ,sp|Q91VI7|RINI_MOUSE,Q91VI7,Rnh1,-0.26,0.147,-0.7,0.05,-0.06,0.364,0.31,0.664,107702
Ribonuclease P protein subunit p21  ,sp|Q8R040|RPP21_MOUSE,Q8R040,Rpp21,0.21,0.802,0.69,0.096,0.72,0.073,1.02,0.041,67676
Ribonuclease P protein subunit p25-like protein  ,sp|Q99JH1|RP25L_MOUSE,Q99JH1,Rpp25l,0.17,0.813,0.76,0.176,-0.67,0.665,-0.57,0.976,69961
Ribonuclease P protein subunit p30  ,sp|O88796|RPP30_MOUSE,O88796,Rpp30,0.18,0.339,-0.25,0.297,0.04,0.994,0.18,0.431,54364
Ribonuclease P protein subunit p40  ,sp|Q8R1F9|RPP40_MOUSE,Q8R1F9,Rpp40,-0.08,0.723,-0.21,0.566,-0.01,0.575,-0.08,0.523,208366
Ribonuclease UK114  ,sp|P52760|UK114_MOUSE,P52760,Hrsp12,0.11,0.575,-0.19,0.939,0.18,0.23,0.06,0.383,15473
Ribonucleoprotein PTB-binding 1  ,sp|Q9CW46|RAVR1_MOUSE,Q9CW46,Raver1,0.3,0.138,0.43,0.163,0.27,0.263,0.41,0.06,71766
Ribonucleoside-diphosphate reductase large subunit  ,sp|P07742|RIR1_MOUSE,P07742,Rrm1,0.17,0.515,0.44,0.144,0.76,0.097,0.7,0.874,20133
Ribonucleoside-diphosphate reductase subunit M2  ,sp|P11157|RIR2_MOUSE,P11157,Rrm2,0.01,0.965,0.26,0.196,-0.56,0.526,-0.82,0.328,20135
Ribose-5-phosphate isomerase  ,sp|P47968|RPIA_MOUSE,P47968,Rpia,0.51,0.332,0.89,0.01,0.68,0.423,1.04,0.435,19895
Ribose-phosphate pyrophosphokinase 1  ,sp|Q9D7G0|PRPS1_MOUSE,Q9D7G0,Prps1,0.16,0.442,0.19,0.298,0.13,0.718,0.25,0.922,19139
Ribose-phosphate pyrophosphokinase 2  ,sp|Q9CS42|PRPS2_MOUSE,Q9CS42,Prps2,0.17,0.36,0.02,0.946,0.25,0.623,-0.02,0.512,110639
Ribosomal protein S6 kinase alpha-1  ,sp|P18653|KS6A1_MOUSE,P18653,Rps6ka1,-0.18,0.281,-0.28,0.095,-0.46,0.224,-0.64,0.385,20111
Ribosomal protein S6 kinase alpha-3  ,sp|P18654|KS6A3_MOUSE,P18654,Rps6ka3,0.04,0.808,-0.2,0.806,0.21,0.732,0.4,0.658,110651
Ribosomal RNA processing protein 1 homolog B  ,sp|Q91YK2|RRP1B_MOUSE,Q91YK2,Rrp1b,0.12,0.471,0.06,0.492,0.18,0.664,0.31,0.609,72462
Ribosomal RNA small subunit methyltransferase NEP1  ,sp|O35130|NEP1_MOUSE,O35130,Emg1,0.17,0.413,0.12,0.791,0.07,0.653,-0.09,0.683,14791
Ribosome biogenesis protein BOP1  ,sp|P97452|BOP1_MOUSE,P97452,Bop1,-0.13,0.556,0.19,0.276,0.14,0.377,-0.37,0.793,12181
Ribosome biogenesis protein BRX1 homolog  ,sp|Q9DCA5|BRX1_MOUSE,Q9DCA5,Brix1,0.53,0.315,0.34,0.656,0.01,0.821,-0.74,0.585,67832
Ribosome biogenesis protein WDR12  ,sp|Q9JJA4|WDR12_MOUSE,Q9JJA4,Wdr12,0.02,0.906,-0.03,0.58,0.28,0.333,0.38,0.591,57750
Ribosome biogenesis regulatory protein homolog  ,sp|Q9CYH6|RRS1_MOUSE,Q9CYH6,Rrs1,0.11,0.611,0.35,0.231,0.48,0.157,0.49,0.767,59014
Ribosome maturation protein SBDS  ,sp|P70122|SBDS_MOUSE,P70122,Sbds,-0.09,0.669,0.25,0.781,0.05,0.969,-0.02,0.614,66711
Ribosome-binding protein 1  ,sp|Q99PL5|RRBP1_MOUSE,Q99PL5,Rrbp1,0.1,0.753,-0.22,0.782,-0.14,0.675,0.17,0.378,81910
Ribulose-phosphate 3-epimerase  ,sp|Q8VEE0|RPE_MOUSE,Q8VEE0,Rpe,0,0.992,-0.06,0.751,-0.18,0.2,0.18,0.789,66646
RING finger and CHY zinc finger domain-containing protein 1  ,sp|Q9CR50|ZN363_MOUSE,Q9CR50,Rchy1,0.04,0.8,0.13,0.257,0.46,0.181,0.61,0.702,68098
RING finger protein 114  ,sp|Q9ET26|RN114_MOUSE,Q9ET26,Rnf114,-0.04,0.861,-0.31,0.412,0.25,0.529,0.57,0.833,81018
RING finger protein 126  ,sp|Q91YL2|RN126_MOUSE,Q91YL2,Rnf126,0.04,0.85,-0.22,0.504,-0.29,0.116,-0.1,0.377,70294
RING-box protein 2  ,sp|Q9WTZ1|RBX2_MOUSE,Q9WTZ1,Rnf7,-0.01,0.963,0.12,0.889,0.25,0.595,0.38,0.429,19823
RNA 3'-terminal phosphate cyclase  ,sp|Q9D7H3|RTCA_MOUSE,Q9D7H3,RtcA,0.03,0.929,0.35,0.171,-0.47,0.372,-0.52,0.571,66368
RNA 3'-terminal phosphate cyclase-like protein  ,sp|Q9JJT0|RCL1_MOUSE,Q9JJT0,Rcl1,0.16,0.345,-0.24,0.666,0.29,0.433,0.34,0.826,59028
"RNA binding motif protein, X-linked-like-1  ",sp|Q91VM5|RMXL1_MOUSE,Q91VM5,Rbmxl1,0.27,0.245,-0.13,0.514,-0.12,0.697,-0.21,0.297,19656
RNA demethylase ALKBH5  ,sp|Q3TSG4|ALKB5_MOUSE,Q3TSG4,Alkbh5,0.25,0.392,-0.06,0.99,0.33,0.21,0.57,0.201,268420
RNA polymerase II subunit A C-terminal domain phosphatase  ,sp|Q7TSG2|CTDP1_MOUSE,Q7TSG2,Ctdp1,1.16,0.006,1,0.023,0.94,0.075,1.32,0.138,67655
RNA polymerase II subunit A C-terminal domain phosphatase SSU72  ,sp|Q9CY97|SSU72_MOUSE,Q9CY97,Ssu72,0.23,0.473,0.23,0.51,0.08,0.122,0.52,0.271,68991
RNA polymerase II-associated factor 1 homolog  ,sp|Q8K2T8|PAF1_MOUSE,Q8K2T8,Paf1,0.05,0.816,0.04,0.924,-0.24,0.889,-0.43,0.938,54624
RNA polymerase II-associated protein 3  ,sp|Q9D706|RPAP3_MOUSE,Q9D706,Rpap3,0.33,0.229,0.13,0.193,0.34,0.41,0.3,0.937,71919
RNA polymerase-associated protein CTR9 homolog  ,sp|Q62018|CTR9_MOUSE,Q62018,Ctr9,0.15,0.637,0.06,0.485,-0.08,0.24,0.07,0.545,22083
RNA polymerase-associated protein LEO1  ,sp|Q5XJE5|LEO1_MOUSE,Q5XJE5,Leo1,-0.19,0.291,-0.36,0.137,-0.17,0.716,-0.5,0.241,235497
RNA polymerase-associated protein RTF1 homolog  ,sp|A2AQ19|RTF1_MOUSE,A2AQ19,Rtf1,0.18,0.61,0.03,0.953,0.77,0.358,1.09,0.516,76246
"RNA-binding motif, single-stranded-interacting protein 2  ",sp|Q8VC70|RBMS2_MOUSE,Q8VC70,Rbms2,-0.55,0.529,0.23,0.249,-0.42,0.148,0.31,0.578,56516
RNA-binding protein 12  ,sp|Q8R4X3|RBM12_MOUSE,Q8R4X3,Rbm12,-0.02,0.906,-0.2,0.457,0.04,0.628,0.12,0.244,75710
RNA-binding protein 14  ,sp|Q8C2Q3|RBM14_MOUSE,Q8C2Q3,Rbm14,0.2,0.249,0.17,0.743,0.37,0.444,0.62,0.285,56275
RNA-binding protein 25  ,sp|B2RY56|RBM25_MOUSE,B2RY56,Rbm25,-0.08,0.759,0.03,0.738,-0.08,0.871,-0.31,0.683,67039
RNA-binding protein 27  ,sp|Q5SFM8|RBM27_MOUSE,Q5SFM8,Rbm27,0.02,0.897,-0.3,0.728,0.26,0.523,0.52,0.368,225432
RNA-binding protein 42  ,sp|Q91V81|RBM42_MOUSE,Q91V81,Rbm42,0.03,0.872,0.43,0.248,-0.06,0.406,-0.35,0.597,68035
RNA-binding protein 47  ,sp|Q91WT8|RBM47_MOUSE,Q91WT8,Rbm47,-0.49,0.032,-0.7,0.115,-0.49,0.069,-0.39,0.31,245945
RNA-binding protein 4B  ,sp|Q8VE92|RBM4B_MOUSE,Q8VE92,Rbm4b,0.1,0.709,-0.34,0.741,0.74,0.76,0.91,0.03,66704
RNA-binding protein 7  ,sp|Q9CQT2|RBM7_MOUSE,Q9CQT2,Rbm7,0.36,0.15,0.41,0.136,0.27,0.16,-0.4,0.544,67010
RNA-binding protein EWS  ,sp|Q61545|EWS_MOUSE,Q61545,Ewsr1,-0.01,0.966,-0.5,0.031,0.18,0.748,0.4,0.4,14030
RNA-binding protein FUS  ,sp|P56959|FUS_MOUSE,P56959,Fus,-0.3,0.207,-0.39,0.146,0.08,0.509,0.59,0.727,233908
RNA-binding protein PNO1  ,sp|Q9CPS7|PNO1_MOUSE,Q9CPS7,Pno1,0.11,0.515,-0.26,0.309,-0.17,0.291,0.01,0.554,66249
RNA-binding protein with multiple splicing  ,sp|Q9WVB0|RBPMS_MOUSE,Q9WVB0,Rbpms,0.43,0.089,0.19,0.641,0.42,0.076,0.81,0.031,19663
RNA-binding protein with serine-rich domain 1  ,sp|Q99M28|RNPS1_MOUSE,Q99M28,Rnps1,-0.04,0.929,-0.83,0.462,-0.47,0.348,0.25,0.942,19826
RNMT-activating mini protein  ,sp|Q9CQY2|RAM_MOUSE,Q9CQY2,Fam103a1,0.07,0.699,-0.01,0.841,0.11,0.876,0.34,0.55,67148
RRP12-like protein  ,sp|Q6P5B0|RRP12_MOUSE,Q6P5B0,Rrp12,0.18,0.618,0.45,0.107,0.04,0.699,1.51,0.143,107094
RUN and FYVE domain-containing protein 1  ,sp|Q8BIJ7|RUFY1_MOUSE,Q8BIJ7,Rufy1,0.26,0.227,-0.1,0.767,0.47,0.157,0.75,0.021,216724
RuvB-like 1  ,sp|P60122|RUVB1_MOUSE,P60122,Ruvbl1,-0.17,0.411,-0.11,0.956,0.14,0.243,0.13,0.273,56505
RuvB-like 2  ,sp|Q9WTM5|RUVB2_MOUSE,Q9WTM5,Ruvbl2,-0.26,0.155,0.13,0.917,-0.21,0.439,0.1,0.687,20174
RWD domain-containing protein 4  ,sp|Q9CPR1|RWDD4_MOUSE,Q9CPR1,Rwdd4,0.03,0.882,-0.05,0.778,0.24,0.944,0.68,0.034,192174
Saccharopine dehydrogenase-like oxidoreductase  ,sp|Q8R127|SCPDL_MOUSE,Q8R127,Sccpdh,-0.16,0.502,-0.76,0.233,-0.23,0.112,-0.19,0.521,109232
S-adenosylmethionine synthase isoform type-2  ,sp|Q3THS6|METK2_MOUSE,Q3THS6,Mat2a,-0.22,0.241,0.03,0.744,-0.03,0.645,-0.13,0.116,232087
SAGA-associated factor 29 homolog  ,sp|Q9DA08|SGF29_MOUSE,Q9DA08,Ccdc101,0.15,0.768,-0.02,0.676,1.05,0.147,0.25,0.208,75565
SAM domain and HD domain-containing protein 1  ,sp|Q60710|SAMH1_MOUSE,Q60710,Samhd1,-0.02,0.911,-0.17,0.328,-0.68,0.292,-0.85,0.229,56045
SAP domain-containing ribonucleoprotein  ,sp|Q9D1J3|SARNP_MOUSE,Q9D1J3,Sarnp,-0.48,0.234,0.11,0.544,-0.16,0.343,-0.49,0.028,66118
SAP30-binding protein  ,sp|Q02614|S30BP_MOUSE,Q02614,Sap30bp,0.12,0.484,0.03,0.634,0.14,0.723,0.29,0.3,57230
Sarcoplasmic/endoplasmic reticulum calcium ATPase 1  ,sp|Q8R429|AT2A1_MOUSE,Q8R429,Atp2a1,1.1,0.236,1.58,0.139,1.47,0.284,1.55,0.565,11937
"Sarcosine dehydrogenase, mitochondrial  ",sp|Q99LB7|SARDH_MOUSE,Q99LB7,Sardh,0.1,0.663,0.04,0.996,0.23,0.913,0.43,0.934,192166
Scaffold attachment factor B1  ,sp|D3YXK2|SAFB1_MOUSE,D3YXK2,Safb,0.26,0.164,0.42,0.293,0.34,0.055,0.35,0.238,224903
Scaffold attachment factor B2  ,sp|Q80YR5|SAFB2_MOUSE,Q80YR5,Safb2,0.24,0.187,-0.16,0.462,0.36,0.432,0.47,0.479,224902
SCY1-like protein 2  ,sp|Q8CFE4|SCYL2_MOUSE,Q8CFE4,Scyl2,-0.26,0.399,-0.42,0.073,-0.3,0.249,-0.17,0.893,213326
Sec1 family domain-containing protein 1  ,sp|Q8BRF7|SCFD1_MOUSE,Q8BRF7,Scfd1,-0.02,0.946,0.22,0.527,-0.43,0.528,-0.27,0.721,76983
Sec1 family domain-containing protein 2  ,sp|Q8BTY8|SCFD2_MOUSE,Q8BTY8,Scfd2,0.12,0.515,-0.1,0.709,0.17,0.941,0.33,0.922,212986
SEC14-like protein 2  ,sp|Q99J08|S14L2_MOUSE,Q99J08,Sec14l2,-0.16,0.481,-0.27,0.372,-0.19,0.548,-0.07,0.226,67815
Secernin-2  ,sp|Q8VCA8|SCRN2_MOUSE,Q8VCA8,Scrn2,0.22,0.271,0.36,0.064,-0.17,0.881,-0.26,0.916,217140
Secreted frizzled-related protein 1  ,sp|Q8C4U3|SFRP1_MOUSE,Q8C4U3,Sfrp1,0.18,0.426,0.07,0.725,0.42,0.19,0.3,0.409,20377
Secretory carrier-associated membrane protein 1  ,sp|Q8K021|SCAM1_MOUSE,Q8K021,Scamp1,-0.07,0.686,-0.47,0.236,0.37,0.864,0.69,0.865,107767
Secretory carrier-associated membrane protein 2  ,sp|Q9ERN0|SCAM2_MOUSE,Q9ERN0,Scamp2,0.35,0.208,0.14,0.699,0.25,0.368,0.43,0.244,24044
Secretory carrier-associated membrane protein 3  ,sp|O35609|SCAM3_MOUSE,O35609,Scamp3,0.48,0.13,0.2,0.841,-0.57,0.762,-1.26,0.861,24045
Sedoheptulokinase  ,sp|Q9D5J6|SHPK_MOUSE,Q9D5J6,Shpk,0.52,0.056,0.19,0.318,0.24,0.931,0.57,0.179,74637
Segment polarity protein dishevelled homolog DVL-2  ,sp|Q60838|DVL2_MOUSE,Q60838,Dvl2,0.29,0.155,-0.06,0.993,0.16,0.704,0.24,0.896,13543
Sel1 repeat-containing protein 1  ,sp|Q921H9|SELR1_MOUSE,Q921H9,Coa7,0.06,0.733,-0.11,0.916,0.11,0.774,0.45,0.715,69893
"Selenide, water dikinase 1  ",sp|Q8BH69|SPS1_MOUSE,Q8BH69,Sephs1,-0.25,0.186,0.07,0.951,-0.15,0.342,-0.07,0.598,109079
"Selenide, water dikinase 2  ",sp|P97364|SPS2_MOUSE,P97364,Sephs2,0.01,0.961,-0.03,0.984,0.14,0.944,0.39,0.453,20768
Selenium-binding protein 1  ,sp|P17563|SBP1_MOUSE,P17563,Selenbp1,-0.58,0.034,-1.19,0.008,-0.53,0.141,-0.16,0.544,20341
Selenocysteine lyase  ,sp|Q9JLI6|SCLY_MOUSE,Q9JLI6,Scly,0.43,0.069,0.06,0.998,0.29,0.252,0.68,0.05,50880
Selenocysteine-specific elongation factor  ,sp|Q9JHW4|SELB_MOUSE,Q9JHW4,Eefsec,0.09,0.752,-0.02,0.621,-0.06,0.427,0.35,0.549,65967
Selenoprotein O  ,sp|Q9DBC0|SELO_MOUSE,Q9DBC0,Selo,-0.18,0.388,-0.11,0.31,-0.54,0.558,-0.97,0.834,223776
Sentrin-specific protease 1  ,sp|P59110|SENP1_MOUSE,P59110,Senp1,0.05,0.833,0.13,0.299,0.08,0.131,1.06,0.486,223870
Sentrin-specific protease 3  ,sp|Q9EP97|SENP3_MOUSE,Q9EP97,Senp3,2.02,0.018,2.04,0.012,1.78,0.056,1.53,0.62,80886
Sentrin-specific protease 7  ,sp|Q8BUH8|SENP7_MOUSE,Q8BUH8,Senp7,0.05,0.827,-0.14,0.327,0.13,0.911,0.34,0.239,66315
Septin-2  ,sp|P42208|SEPT2_MOUSE,P42208,2-Sep,-0.32,0.221,-0.02,0.952,-0.23,0.358,-0.06,0.736,18000
Septin-5  ,sp|Q9Z2Q6|SEPT5_MOUSE,Q9Z2Q6,5-Sep,-0.25,0.16,-0.81,0.026,0.25,0.273,0.98,0.701,18951
Septin-7  ,sp|O55131|SEPT7_MOUSE,O55131,7-Sep,-0.13,0.634,0.14,0.968,-0.38,0.794,-0.79,0.274,235072
Septin-8  ,sp|Q8CHH9|SEPT8_MOUSE,Q8CHH9,8-Sep,-0.78,0.152,-0.39,0.195,-0.04,0.369,0.37,0.828,20362
Sequestosome-1  ,sp|Q64337|SQSTM_MOUSE,Q64337,Sqstm1,0.38,0.15,0.68,0.011,0.65,0.08,0.8,0.213,18412
"Serine hydroxymethyltransferase, cytosolic  ",sp|P50431|GLYC_MOUSE,P50431,Shmt1,-0.35,0.151,-0.26,0.783,-0.05,0.356,0.08,0.553,20425
Serine palmitoyltransferase 1  ,sp|O35704|SPTC1_MOUSE,O35704,Sptlc1,0.32,0.127,0.02,0.21,0.05,0.708,0.45,0.072,268656
Serine palmitoyltransferase 2  ,sp|P97363|SPTC2_MOUSE,P97363,Sptlc2,0.11,0.533,0.36,0.414,0.31,0.376,0.3,0.962,20773
Serine protease 23  ,sp|Q9D6X6|PRS23_MOUSE,Q9D6X6,Prss23,-0.02,0.904,-0.07,0.729,0.23,0.361,0.12,0.627,76453
Serine protease HTRA1  ,sp|Q9R118|HTRA1_MOUSE,Q9R118,Htra1,0.37,0.092,0.12,0.54,0.34,0.511,0.55,0.504,56213
"Serine protease HTRA2, mitochondrial  ",sp|Q9JIY5|HTRA2_MOUSE,Q9JIY5,Htra2,-0.15,0.476,0.14,0.756,0.1,0.299,-0.57,0.935,64704
Serine/arginine repetitive matrix protein 2  ,sp|Q8BTI8|SRRM2_MOUSE,Q8BTI8,Srrm2,0.15,0.367,0.18,0.336,0.24,0.757,0.42,0.936,75956
Serine/arginine-rich splicing factor 1  ,sp|Q6PDM2|SRSF1_MOUSE,Q6PDM2,Srsf1,0,0.98,0.25,0.155,0.3,0.286,0.22,0.956,110809
Serine/arginine-rich splicing factor 10  ,sp|Q9R0U0|SRS10_MOUSE,Q9R0U0,Srsf10,-0.26,0.298,-0.29,0.763,0.11,0.816,0.49,0.559,14105
Serine/arginine-rich splicing factor 2  ,sp|Q62093|SRSF2_MOUSE,Q62093,Srsf2,0.17,0.528,-0.02,0.862,-0.25,0.594,-0.78,0.644,20382
Serine/arginine-rich splicing factor 3  ,sp|P84104|SRSF3_MOUSE,P84104,Srsf3,-0.12,0.537,-0.57,0.042,0.1,0.903,0.43,0.169,20383
Serine/arginine-rich splicing factor 5  ,sp|O35326|SRSF5_MOUSE,O35326,Srsf5,-0.34,0.156,-0.12,0.27,0,0.388,0.56,0.497,20384
Serine/arginine-rich splicing factor 9  ,sp|Q9D0B0|SRSF9_MOUSE,Q9D0B0,Srsf9,0.03,0.846,0.23,0.385,0.05,0.896,-0.46,0.239,108014
Serine/threonine-protein kinase 24  ,sp|Q99KH8|STK24_MOUSE,Q99KH8,Stk24,0.8,0.031,1.1,0.016,0.22,0.789,0.3,0.187,223255
Serine/threonine-protein kinase 38  ,sp|Q91VJ4|STK38_MOUSE,Q91VJ4,Stk38,0.04,0.836,-0.24,0.693,0.35,0.676,0.55,0.922,106504
Serine/threonine-protein kinase 38-like  ,sp|Q7TSE6|ST38L_MOUSE,Q7TSE6,Stk38l,0.11,0.584,0.18,0.41,0.14,0.839,0.19,0.736,232533
Serine/threonine-protein kinase 4  ,sp|Q9JI11|STK4_MOUSE,Q9JI11,Stk4,0.12,0.697,-0.23,0.897,-0.01,0.684,-0.11,0.722,58231
Serine/threonine-protein kinase A-Raf  ,sp|P04627|ARAF_MOUSE,P04627,Araf,0.19,0.404,0.01,0.407,0.21,0.403,0.12,0.577,11836
Serine/threonine-protein kinase D2  ,sp|Q8BZ03|KPCD2_MOUSE,Q8BZ03,Prkd2,-0.6,0.237,0.56,0.19,-0.61,0.71,-1.45,0.199,101540
Serine/threonine-protein kinase D3  ,sp|Q8K1Y2|KPCD3_MOUSE,Q8K1Y2,Prkd3,0.17,0.372,0.08,0.308,-0.17,0.293,0.23,0.959,75292
Serine/threonine-protein kinase MRCK beta  ,sp|Q7TT50|MRCKB_MOUSE,Q7TT50,Cdc42bpb,0.04,0.876,-0.01,0.935,0.29,0.12,0.42,0.023,217866
Serine/threonine-protein kinase MRCK gamma  ,sp|Q80UW5|MRCKG_MOUSE,Q80UW5,Cdc42bpg,-0.01,0.948,-0.01,0.932,0.16,0.866,0.31,0.982,240505
Serine/threonine-protein kinase MST4  ,sp|Q99JT2|MST4_MOUSE,Q99JT2,Stk26,-0.17,0.327,-0.11,0.482,-0.12,0.243,-0.03,0.392,70415
Serine/threonine-protein kinase mTOR  ,sp|Q9JLN9|MTOR_MOUSE,Q9JLN9,Mtor,0.18,0.389,0.11,0.48,0.21,0.547,0.25,0.542,56717
Serine/threonine-protein kinase N1  ,sp|P70268|PKN1_MOUSE,P70268,Pkn1,0.03,0.929,0.3,0.775,-0.49,0.094,-0.15,0.287,320795
Serine/threonine-protein kinase N2  ,sp|Q8BWW9|PKN2_MOUSE,Q8BWW9,Pkn2,-0.04,0.855,0.28,0.194,-0.21,0.611,-0.26,0.907,109333
Serine/threonine-protein kinase Nek1  ,sp|P51954|NEK1_MOUSE,P51954,Nek1,0.1,0.522,0.27,0.398,0.08,0.892,0.35,0.102,18004
Serine/threonine-protein kinase Nek7  ,sp|Q9ES74|NEK7_MOUSE,Q9ES74,Nek7,0.33,0.336,0.37,0.292,-0.25,0.153,-0.83,0.202,59125
